OBJECTID,MODO,CODIGOITINERARIO,CODIGOGESTIONLINEA,NUMEROLINEAUSUARIO,SENTIDO,TIPOITINERARIO,CODIGOESTACION,CODIGOPOSTE,CODIGOANDEN,NUMEROORDEN,IDENTIFICADORTIPOPARADA,TIPOPARADA,DENOMINACION,CODIGOPROVINCIA,CODIGOMUNICIPIO,MUNICIPIO,CORONATARIFARIA,DIRECCION,FECHAALTA,FECHAINICIO,FECHAFIN,LONGITUDTRAMOANTERIOR,VELOCIDADTRAMOANTERIOR,MODOLINEA,IDFINTERCAMBIADOR,CODPROV_LINEA,CODMUN_LINEA,IDFTRAMO,CODIGOOBSERVACION,CODIGOSUBLINEA,DENOMINACION_SAE,IDFLINEA,IDFITINERARIO,IDFESTACION,IDFPOSTE,IDFANDEN
62,4,332069,121,12-1,1,1,231,,479,23,TI,I,EL CARRASCAL,28,074,LEGANES,B1,Avda   Rey Juan Carlos I N 85,20030613,20030411,,1544.318,40.53,4,93_204,,,4__12_1____1_IT_1_4_231__479_TI_I_23,,,,4__12_1__,4__12_1____1_IT_1,4_231,4_231_,4_231_479
63,4,332069,121,12-1,1,1,232,,481,24,TI,I,JULIAN BESTEIRO,28,074,LEGANES,B1,Avda   Rey Juan Carlos I N 23A,20030613,20030411,,1058.544,40.53,4,93_242,,,4__12_1____1_IT_1_4_232__481_TI_I_24,,,,4__12_1__,4__12_1____1_IT_1,4_232,4_232_,4_232_481
64,4,332070,122,12-2,1,1,232,,482,6,TI,I,JULIAN BESTEIRO,28,074,LEGANES,B1,Avda   Rey Juan Carlos I N 23A,20030613,20030411,,1367.971,40.59,4,93_242,,,4__12_2____1_IT_1_4_232__482_TI_I_6,,,,4__12_2__,4__12_2____1_IT_1,4_232,4_232_,4_232_482
65,4,332069,121,12-1,1,1,233,,483,25,TI,I,CASA DEL RELOJ,28,074,LEGANES,B1,Avda   Gibraltar N 11,20030613,20030411,,1363.821,40.53,4,93_168,,,4__12_1____1_IT_1_4_233__483_TI_I_25,,,,4__12_1__,4__12_1____1_IT_1,4_233,4_233_,4_233_483
66,4,332070,122,12-2,1,1,233,,484,5,TI,I,CASA DEL RELOJ,28,074,LEGANES,B1,Avda   Gibraltar N 11,20030613,20030411,,848.544,40.59,4,93_168,,,4__12_2____1_IT_1_4_233__484_TI_I_5,,,,4__12_2__,4__12_2____1_IT_1,4_233,4_233_,4_233_484
67,4,332069,121,12-1,1,1,234,,485,26,TI,I,HOSPITAL SEVERO OCHOA,28,074,LEGANES,B1,Avda   Orellana N 3,20030613,20030411,,852.28,40.53,4,92_234,,,4__12_1____1_IT_1_4_234__485_TI_I_26,,,,4__12_1__,4__12_1____1_IT_1,4_234,4_234_,4_234_485
68,4,332070,122,12-2,1,1,234,,486,4,TI,I,HOSPITAL SEVERO OCHOA,28,074,LEGANES,B1,Avda   Orellana N 3,20030613,20030411,,1089.877,40.59,4,92_234,,,4__12_2____1_IT_1_4_234__486_TI_I_4,,,,4__12_2__,4__12_2____1_IT_1,4_234,4_234_,4_234_486
69,4,332069,121,12-1,1,1,235,,487,27,TI,I,LEGANES CENTRAL,28,074,LEGANES,B1,Calle  Virgen del Camino N 1,20030613,20030411,,1100.396,40.53,4,92_88,,,4__12_1____1_IT_1_4_235__487_TI_I_27,,,,4__12_1__,4__12_1____1_IT_1,4_235,4_235_,4_235_487
70,4,332070,122,12-2,1,1,235,,488,3,TI,I,LEGANES CENTRAL,28,074,LEGANES,B1,Calle  Virgen del Camino N 1,20030613,20030411,,1170.18,40.59,4,92_88,,,4__12_2____1_IT_1_4_235__488_TI_I_3,,,,4__12_2__,4__12_2____1_IT_1,4_235,4_235_,4_235_488
71,4,332069,121,12-1,1,1,236,,489,28,TI,I,SAN NICASIO,28,074,LEGANES,B1,Avda   Mar Mediterráneo SN SN,20030613,20030411,,1164.882,40.53,4,93_338,,,4__12_1____1_IT_1_4_236__489_TI_I_28,,,,4__12_1__,4__12_1____1_IT_1,4_236,4_236_,4_236_489
